subject_id,race,sex,age,has_injury,role,role_number,resistance
250,Black,Male,29,No,A,2,tensed
251,White,Male,36,Yes,V,1,tensed
252,Black,Male,17,,A,1,verbal non-compliance
253,Black,Male,21,,S,2,unspecified
254,White,Male,38,No,A,1,verbal non-compliance
255,Black,Male,28,No,A,2,commission of crime
256,Black,Male,17,Yes,A,2,fled on foot
257,Black,Male,17,No,OT,1,tensed
258,Black,Male,18,No,A,1,fled on foot
259,Black,Male,21,No,A,1,commission of crime
260,Black,Male,31,,A,1,fled on foot
261,Native American,Male,36,,A,1,commission of crime
262,White,Male,44,Yes,A,1,fled in vehicle
263,White,Male,25,No,A,2,verbal non-compliance
264,White,Male,36,Yes,A,1,tensed
265,Native American,Male,33,Yes,V,1,tensed
266,Black,Male,34,No,A,1,commission of crime
267,White,Male,37,No,A,1,tensed
268,White,Male,28,No,A,1,verbal non-compliance
269,Black,Male,27,,A,1,verbal non-compliance
270,White,Male,24,,A,1,tensed
271,White,Male,22,No,A,1,commission of crime
272,Black,Female,29,No,A,1,tensed
273,White,Male,25,No,A,1,commission of crime
274,Black,Male,27,,A,1,fled on foot
275,White,Male,22,Yes,A,1,fled in vehicle
276,Black,Female,46,,A,1,verbal non-compliance
277,Black,Male,34,No,A,1,tensed
278,Black,Male,40,No,A,1,commission of crime
279,White,Male,23,,A,1,tensed
280,Black,Male,41,,A,1,tensed
281,Black,Male,20,No,A,1,commission of crime
282,White,Male,33,,A,1,fled on foot
283,Native American,Female,23,,A,1,fled in vehicle
284,Black,Female,20,,S,1,unspecified
285,Black,Male,16,Yes,A,2,fled on foot
286,Black,Male,16,No,A,2,fled on foot
287,Black,Male,27,No,A,1,tensed
288,Black,Male,32,No,A,1,tensed
289,White,Female,30,,A,1,verbal non-compliance
290,Black,Male,23,No,A,1,verbal non-compliance
291,Black,Male,21,,A,1,fled on foot
292,Black,Male,19,Yes,A,1,fled on foot
293,White,Male,45,,A,1,tensed
294,Black,Male,66,Yes,A,1,assaulted officer
295,Black,Female,30,No,A,1,tensed
296,Black,Male,30,Yes,A,1,tensed
297,Black,Male,24,Yes,A,1,commission of crime
298,Asian,Male,16,No,A,2,fled on foot
299,Black,Male,48,No,A,1,commission of crime
300,White,Male,35,Yes,V,1,tensed
301,Black,Male,24,Yes,A,1,fled in vehicle
302,Asian,Male,22,Yes,A,2,fled on foot
303,White,Male,38,No,A,1,verbal non-compliance
304,Black,Male,38,,OT,1,fled in vehicle
305,Black,Male,25,No,A,1,fled on foot
306,Black,Male,25,,A,1,tensed
307,Black,Male,23,,A,1,verbal non-compliance
308,Black,Female,18,Yes,A,3,fled on foot
309,Other / Mixed Race,Male,29,Yes,A,1,tensed
310,Black,Male,29,No,A,1,tensed
311,Native American,Male,23,No,A,1,tensed
312,Black,Female,42,No,A,1,unspecified
313,Black,Male,19,Yes,A,1,commission of crime
314,Black,Male,34,No,A,1,tensed
315,White,Male,50,No,OT,1,verbal non-compliance
316,Black,Male,15,,A,1,tensed
317,Native American,Male,21,No,A,1,commission of crime
318,Black,Male,44,No,A,1,commission of crime
319,Asian,Male,14,No,A,3,fled on foot
320,White,Male,18,No,A,1,tensed
321,Black,Male,40,No,A,1,commission of crime
322,Black,Male,21,Yes,A,1,commission of crime
323,Black,Female,17,,A,3,commission of crime
324,Black,Female,42,No,A,1,unspecified
325,Black,Male,39,No,A,1,verbal non-compliance
326,Black,Male,36,No,A,1,tensed
327,Black,Male,42,,A,1,tensed
328,Black,Male,33,No,A,1,fled on foot
329,Black,Female,14,Yes,V,1,unspecified
330,White,Male,31,No,A,1,fled on foot
331,Black,Female,19,,A,1,tensed
332,Black,Female,17,,A,3,commission of crime
333,Black,Male,32,Yes,A,1,assaulted officer
334,White,Male,41,Yes,A,1,commission of crime
335,Black,Male,33,No,A,1,tensed
336,Black,Male,23,,A,1,fled on foot
337,Black,Male,22,Yes,A,1,unspecified
338,White,Male,38,,A,1,tensed
339,White,Male,19,No,A,1,fled on foot
340,Native American,Female,46,,A,2,verbal non-compliance
341,Black,Male,45,No,W,1,unspecified
342,Native American,Male,37,No,A,1,fled on foot
343,Native American,Male,28,No,S,1,tensed
344,Black,Male,18,Yes,A,1,fled in vehicle
345,White,Male,22,Yes,A,1,fled in vehicle
346,Black,Male,27,No,A,1,verbal non-compliance
347,Black,Male,23,No,A,1,commission of crime
348,White,Male,46,No,OT,1,tensed
349,Black,Male,28,No,A,1,tensed
