neighborhood_summary_id,year,neighborhood_id,total_calls
619,2016,48,39
620,2017,48,48
621,2018,48,61
622,2019,48,11
623,2020,48,51
624,2008,49,72
625,2009,49,43
626,2010,49,65
627,2011,49,33
628,2012,49,53
629,2013,49,43
630,2014,49,33
631,2015,49,20
632,2016,49,34
633,2017,49,17
634,2018,49,16
635,2019,49,38
636,2020,49,34
637,2008,50,10
638,2009,50,11
639,2010,50,22
640,2011,50,4
641,2012,50,9
642,2013,50,2
643,2014,50,4
644,2015,50,5
645,2016,50,13
646,2017,50,8
647,2018,50,12
648,2019,50,4
649,2020,50,15
650,2008,51,29
651,2009,51,18
652,2010,51,27
653,2011,51,5
654,2012,51,9
655,2013,51,23
656,2014,51,21
657,2015,51,10
658,2016,51,23
659,2017,51,13
660,2018,51,40
661,2019,51,26
662,2020,51,23
663,2008,52,9
664,2009,52,11
665,2010,52,1
666,2011,52,2
667,2012,52,1
668,2013,52,11
669,2014,52,3
670,2015,52,21
671,2016,52,11
672,2017,52,1
673,2018,52,11
674,2019,52,13
675,2020,52,27
676,2008,53,39
677,2009,53,47
678,2010,53,57
679,2011,53,55
680,2012,53,36
681,2013,53,28
682,2014,53,11
683,2015,53,20
684,2016,53,40
685,2017,53,23
686,2018,53,40
687,2019,53,42
688,2020,53,92
689,2008,54,12
690,2009,54,18
691,2010,54,5
692,2011,54,7
693,2012,54,5
694,2013,54,11
695,2014,54,17
696,2015,54,3
697,2016,54,3
698,2017,54,6
699,2018,54,1
700,2019,54,1
701,2020,54,20
702,2008,55,43
703,2009,55,40
704,2010,55,45
705,2011,55,27
706,2012,55,40
707,2013,55,9
708,2014,55,13
709,2015,55,24
710,2016,55,18
711,2017,55,12
712,2018,55,8
713,2019,55,30
714,2020,55,38
715,2008,56,3
716,2009,56,1
717,2010,56,6
718,2011,56,2
719,2012,56,8
720,2013,56,2
721,2014,56,5
722,2015,56,1
723,2016,56,1
724,2017,56,4
725,2018,56,1
726,2019,56,7
727,2020,56,15
728,2008,57,6
729,2009,57,5
730,2010,57,7
731,2011,57,1
732,2012,57,7
733,2013,57,4
734,2014,57,15
735,2015,57,3
736,2016,57,9
737,2017,57,15
738,2018,57,13
739,2019,57,18
740,2020,57,9
741,2008,58,8
742,2009,58,10
743,2010,58,4
744,2011,58,4
745,2012,58,6
746,2013,58,1
747,2014,58,1
748,2015,58,1
749,2016,58,2
750,2017,58,6
751,2018,58,3
752,2019,58,12
753,2020,58,5
754,2008,59,41
755,2009,59,43
756,2010,59,40
757,2011,59,55
758,2012,59,63
759,2013,59,26
760,2014,59,34
761,2015,59,19
762,2016,59,20
763,2017,59,21
764,2018,59,24
765,2019,59,20
766,2020,59,80
767,2008,60,5
768,2009,60,7
769,2010,60,2
770,2011,60,6
771,2012,60,6
772,2013,60,9
773,2014,60,11
774,2015,60,1
775,2016,60,10
776,2017,60,17
777,2018,60,14
778,2019,60,9
779,2020,60,14
780,2008,61,5
781,2009,61,1
782,2010,61,1
783,2011,61,9
784,2012,61,8
785,2013,61,1
786,2014,61,8
787,2015,61,1
788,2016,61,1
789,2017,61,6
790,2018,61,1
791,2019,61,1
792,2020,61,5
793,2008,62,3
794,2009,62,10
795,2010,62,1
796,2011,62,9
797,2012,62,8
798,2013,62,4
799,2014,62,5
800,2015,62,8
801,2016,62,1
802,2017,62,4
803,2018,62,4
804,2019,62,1
805,2020,62,9
806,2008,63,5
807,2009,63,8
808,2010,63,2
809,2011,63,16
810,2012,63,1
811,2013,63,9
812,2014,63,3
813,2015,63,11
814,2016,63,1
815,2017,63,3
816,2018,63,11
817,2019,63,14
818,2020,63,15
819,2008,64,6
820,2009,64,10
821,2010,64,4
822,2011,64,3
823,2012,64,4
824,2013,64,11
825,2014,64,6
826,2015,64,6
827,2016,64,1
828,2017,64,12
829,2018,64,1
830,2019,64,3
831,2020,64,12
832,2008,65,23
833,2009,65,14
834,2010,65,8
835,2011,65,16
836,2012,65,20
837,2013,65,14
838,2014,65,6
839,2015,65,8
840,2016,65,1
841,2017,65,1
842,2018,65,1
843,2019,65,5
844,2020,65,8
845,2008,66,5
846,2009,66,1
847,2010,66,7
848,2011,66,7
849,2012,66,7
850,2013,66,4
